Date;Contenu_retour;Source
04/01/2023;En dehors de Pont-Sainte-Maxence ou il faut changer de voie en 2 min et c’est particulièrement court, faut-il comprendre pour les autres correspondance que c’est le même quai ?;Twitter @TERHDFusagers
04/01/2023;Ouai j'ai eu le ter en fin de voyage après tgv d'annulé, aucun remboursement possible;Twitter @TERHDFusagers
04/01/2023;Si ça peut te rassurer j'essaye toujours de trouver un moyen de me faire rembourser un ticket de TER car le train a eu 2h50 de retard..;Twitter @TERHDFusagers
04/01/2023;Les ter sont non remboursable il me semble.;Twitter @TERHDFusagers
04/01/2023;"Bon Connect, 
Test fait, cela n’est pas encore à jour: 
Test sur St Quentin -Amiens, toujours 3 min de correspondance le 12 janvier";Twitter @TERHDFusagers
04/01/2023;"Oui, vous avez tout à fait raison : #SNCFConnect propose à chaque fois de ""réserver ce train""... mais quand on clique sur le bouton ""réserver"", ça ramène sur la page de recherche sans explication !
C'est quand même un peu tordu 0_o";Twitter @TERHDFusagers
05/01/2023;Écoutez dans mon entourage proche pas une personne ne se plaint pas des conditions, des retards , des suppressions …. S’auto felicilter parce que son train à soit a bien fonctionné et pas entendre ce que remonte les usagers ne présage rien de bon.;Twitter @TERHDFusagers
05/01/2023;Il ne faut pas généraliser, j'ai fait 07h18 Béthune Lille ce matin en pleine pointe de matinée . UM 24 678 places assises clients assis , annonce notamment sur le remboursement des abo à hauteur de 30% à partir du 09/01 c'est pas ça le triple A? A L'heure, assis , averti.;Twitter @TERHDFusagers
05/01/2023;C’est les conditions de voyages qui font mal …. Je suis obligé de parti plus tôt pour avoir moins de monde et voyager dans des conditions convenables, 3/4 d’Heure avant l’horaire habituel parce que sinon les trains ne sont pas adaptés à l’affluence mais bon faut pas le dire;Twitter @TERHDFusagers
05/01/2023;"Est-ce un moyen ""subtil"" de faire comprendre à l'AO qu'il faut moins de circulation pour que ça roule bien ? Ou qu'il faut davantage de moyens humains et matériels ?";Twitter @TERHDFusagers
05/01/2023;"Chiffres ""partiellement réels"" par rapport aux conditions de transport puisque nulle part ne sont mentionnées les ""suppressions PTA"". Afficher un joli taux de régularité est bien plus ""simple"" avec moins de circulation.";Twitter @TERHDFusagers
10/01/2023;"Si quelqu'un au COP de #Lille peut aider notre TER Hauts-de-France 847945 à redémarrer...
On est coincés avant #Compiegne sans avoir d'informations et le chef de bord n'en a pas non plus.
#TERHdF";Twitter #TERHDF
10/01/2023;Perso, mon numéro de carte pass-pass n'est pas reconnu. De plus, même si on s'identifie et qu'on indique son numéro de carte on doit fournir les justificatifs ?? alors que les achats passés ont été enregistrés sur cette carte ? La #SNCF n'a pas trace des achats ?! #TERHDF;Twitter #TERHDF
14/01/2023;"TÉMOIGNAGE. Les retards de train, un ""enfer du quotidien"" pour Laurent, habitant de l'Oise qui travaille en région parisienne

#SNCF #Transport #TERHDF";Twitter #TERHDF
15/01/2023;Comme un dimanche matin ?? #TerHDF 848556 Amiens/ParisNord;Twitter #TERHDF
16/01/2023;#TERHDF Quelle pagaille ??;Twitter #TERHDF
16/01/2023;Compliqué ce soir, encore un train insuffisamment dimensionné;Facebook Groupe des usagers en colère des ter des hauts de France
18/01/2023;"#TERHDF
 tu rigoles ou quoi ? Deux jours sans chauffage dans le train ? On paie pour quoi ? 

Jamais à l'heure
Pas chauffé

#honteux #terhdf #K44 @xavierbertrand";Twitter #TERHDF
19/01/2023;Ça fait quand même 14 trains de supprimer entre Arras et Hazebrouck et presque uniquement le matin impossible donc d’arriver à Arras avant 9h pour ceux qui ont la chance d’être sur la ligne K52, sur la P54 ce sera a 13h45;Twitter @TERHDFusagers
19/01/2023;"__Grève Vendredi 20 Janvier 
123 TER supprimés + 12 TGV pour vendredi.
@TERHDFusagers
  
@RemiPerrin2
 
@FnautHdf
 
@uvn_fnaut";Twitter @TERHDFusagers
19/01/2023;"action- réaction de la part de la région Grand Est qui parvient à obtenir une indemnisation plus importante que la région 
@hautsdefrance
 
@FnautHdf
 
@TERHDFusagers
 
@SNCFvamtuer
 #TER";Twitter @TERHDFusagers
19/01/2023;"Comment fait-on pour obtenir le remboursement de 30 % de la part de la SNCF pour tous les retard ? est-ce ""garantie TER ? 
J'ai un abonnement mensuel, bien sûr je donne tous mes justificatifs d'achats à mon employeur, faut-il les scanner tous ? 
Sur la page garantie TER il me demande d'indiquer la jour, N° train et horaire mais je n'ai pas noté tout cela. Où retrouver tous les retard ? 
Avez vous des difficultés à vous identifié ? prenant mes abonnement directement sur les bornes de rechargement et les mettant sur ma carte pass pass je n'ai pas crée particulièrement de compte. 
Merci à vous pour votre aide.";Facebook Les Usagers des TER Hauts de France
19/01/2023;Une catastrophe...la SNCF... Quelle misère ! Le guichetier ne veut pas rembourser pour un train en retard de plus d'une 1/2 h... Renvoie vers ce numéro de téléphone... Qui n'est qu'une boîte vocale qui bug...sans conseiller au bout du fil ..;Facebook Les Usagers des TER Hauts de France
23/01/2023;"Parmi les causes de retard auxquelles nous sommes quotidiennement habitués, celle-ci est une première pour moi.... En attendant, c'est encore les passagers qui se gèlent les miches ! #terhdf @FDhersin
 @SNCFvamtuer
 @Saccagedutrain
 @SNCFmefatigue";Twitter #TERHDF
23/01/2023;Trains supprimés ce matin entre Compiègne et Amiens.;Facebook Groupe des usagers en colère des ter des hauts de France
23/01/2023;Une semaine qui commence avec encore et encore des suppressions et retards;Facebook Groupe des usagers en colère des ter des hauts de France
24/01/2023;"Pendant que toute l'actualité tourne autour de Paris, comme avec l'interruption de trafic à gare de l'Est, les voyageurs des #hautsdefrance galéraient encore avec le train aujourd'hui...mais ça les médias parisiens n'en ont que faire 
@TERHDFusagers
 
@SNCFvamtuer
 
@TERHDF";Twitter @TERHDFusagers
25/01/2023;"Des rangées de 3 comme dans les vo2n__. Franchement par rapport au corail, ça perd en confort c’est très clair….
@udupc14
 
@TERHDFusagers";Twitter @TERHDFusagers
25/01/2023;"Ahh mais ça c'est la version low-cost comme ceux de la 
@TeamLigneR
 ! Avec un peu de chance ils auront des WC ______";Twitter @TERHDFusagers
25/01/2023;"Reparti pour avec un retard annoncé de 20 à 25 minutes #TERHDF 
@TERHDFusagers";Twitter @TERHDFusagers
26/01/2023;#TERHDF m'a plus belle rencontre dans un TER juin 2021 ?? il se reconnaîtra??.  Belle journée;Twitter #TERHDF
26/01/2023;ça reste subjectif selon le poste considéré (niveau sonore, siège). Certes il y a des défauts (renfoncement en bas côté fenêtre), mais ça reste un aménagement relativement digne de grandes lignes malgré tout, s'accrocher éternellement aux corails n'est pas réaliste;Twitter @TERHDFusagers
26/01/2023;"ok merci. Les Premium restent moins confortables que les Corail, sans compter les problèmes d'éclairage et de clim glaçante
pour les TER en revanche sur Cherbourg-Caen on a des rames Bombardier qui ont bien mal vieilli";Twitter @TERHDFusagers
26/01/2023;C’est la France d’aujourd’hui, celle de se congratuler de la médiocrité __;Twitter @TERHDFusagers
26/01/2023;Seul un sadique qui aime faire souffrir les usagers peut avoir l'idée de faire des rangées de trois.;Twitter @TERHDFusagers
27/01/2023;S'il y a des gens qui n'ont pas pu monter dans le #TERHdF 843914 #Lille -> #Amiens ce midi, ce n'est pas du tout parce qu'il était bondé, c'est juste parce que les gens s'agglutinent dans les entrées et les bloquent, pendant que d'autres monopolisent des sièges pour leur sac;Twitter #TERHDF
28/01/2023;"Je fais volontiers, et même avec plaisir voire avec passion, la promotion des déplacements par #train.
Mais quand il n'y a que trois trains dans la journée pour faire un trajet, découvrir qu'un d'entre eux a 30mn de retard complique qd même la tâche.
#TERHdF";Twitter #TERHDF
30/01/2023;"Bonjour à toutes les équipes #terhdf @TERHDF
 tout horizon confondu.
Du coup à l'annonce de ce mouvement, auriez vous la possibilité de me dire quels sont les trains qui partiront ou non de Boulogne vers Paris nord ?

Merci beaucoup ??
Et très belle semaine à tous et toutes ??";Twitter #TERHDF
30/01/2023;"Bonjour 
@TERHDF
, 3e lundi où le Lille-Rouen est composé de 3 voitures au lieu de 6.
Peut-on avoir une explication cohérente ?
Merci.
@FDhersin
 
@JeromeBodel";Twitter @Fdhersin
30/01/2023;Nominal sur le retard moyen du mois qui est de 24mn par trajet ... Et toujours une bonne raison de ne pas être à l'heure …;Twitter @Fdhersin
